shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
shift,loss,loss_std
0,442.74487,306.77499
1,486.24594,363.11066
2,509.68979,381.04840
3,517.71802,384.30069
4,512.55841,375.84088
5,507.89136,369.16489
6,506.32623,361.36264
7,510.50208,367.57596
8,520.58093,373.57971
9,529.35760,375.63562
10,539.62097,379.12115
11,549.78534,384.90637
12,556.68677,383.64426
13,564.89252,385.35059
shift,loss,loss_std
