TMGNN,0,72.94988,125.94992
TMGNN,1,80.23521,147.08879
TMGNN,2,92.51814,158.57158
TMGNN,3,96.16661,158.29526
TMGNN,4,104.50407,190.77067
TMGNN,5,106.12019,201.25342
TMGNN,6,96.61206,193.51546
TMGNN,7,92.29463,196.75677
TMGNN,8,93.15798,182.97772
TMGNN,9,88.35563,162.32083
TMGNN,10,90.99911,159.55706
TMGNN,11,93.17308,152.58472
TMGNN,12,93.94136,155.93512
TMGNN,13,94.38984,155.76078
TMGNN,0,68.27852,55.92134
TMGNN,1,69.27960,51.40653
TMGNN,2,77.97160,59.44010
TMGNN,3,82.81857,59.20117
TMGNN,4,93.31318,63.61980
TMGNN,5,91.98128,65.95650
TMGNN,6,84.71996,62.34966
TMGNN,7,75.19235,56.28400
TMGNN,8,76.86478,55.51026
TMGNN,9,75.52113,54.09492
TMGNN,10,84.52471,60.07386
TMGNN,11,83.11411,58.33736
TMGNN,12,85.97515,59.12030
TMGNN,13,86.70571,59.87773
