LSTM,0,270.73995,259.57582
LSTM,1,270.01381,258.86278
LSTM,2,274.66730,259.13861
LSTM,3,281.97296,261.98826
LSTM,4,291.50548,265.36644
LSTM,5,299.15029,265.84054
LSTM,6,298.75088,270.31734
LSTM,7,303.31454,268.24165
LSTM,8,306.25638,271.64375
LSTM,9,313.87318,273.67966
LSTM,10,314.25935,274.17499
LSTM,11,315.79235,275.11611
LSTM,12,316.13719,275.27402
LSTM,13,316.20505,275.54921
MPNN,0,65.58845,100.76800
MPNN,1,79.09644,114.87745
MPNN,2,86.69814,126.74650
MPNN,3,98.08251,172.23750
MPNN,4,96.31414,164.55862
MPNN,5,98.46287,174.56223
MPNN,6,118.54542,221.06722
MPNN,7,132.33308,209.96852
MPNN,8,143.60349,229.39026
MPNN,9,142.62637,207.74979
MPNN,10,146.77314,220.39291
MPNN,11,152.05542,226.08755
MPNN,12,156.90080,228.55497
MPNN,13,164.84783,231.26800
