TMGNN,0,10.51561,5.59897
TMGNN,1,10.51060,5.58231
TMGNN,2,11.75577,6.54113
TMGNN,3,11.56134,6.06357
TMGNN,4,12.76211,6.84926
TMGNN,5,12.38677,6.66010
TMGNN,6,11.94081,6.17770
TMGNN,7,11.23958,5.79042
TMGNN,8,11.38578,5.82579
TMGNN,9,10.83259,5.76826
TMGNN,10,11.85566,5.90249
TMGNN,11,12.01376,6.44914
TMGNN,12,11.95035,6.28278
TMGNN,13,12.12458,6.33689
ATMGNN,0,10.41365,5.65148
ATMGNN,1,10.81877,5.92325
ATMGNN,2,11.42651,6.45564
ATMGNN,3,12.31908,6.98702
ATMGNN,4,12.27907,6.74750
ATMGNN,5,12.47014,7.02986
ATMGNN,6,12.02694,6.77851
ATMGNN,7,11.58252,6.31259
ATMGNN,8,11.61300,6.32664
ATMGNN,9,11.54467,6.52976
ATMGNN,10,12.11385,6.55084
ATMGNN,11,12.33069,6.71099
ATMGNN,12,11.94888,6.81779
ATMGNN,13,11.99017,6.62330
