91.77309,31.92172,102.96278,68.34944,102.41567,15.76276,14.34881,35.32685,32.71067,22.56280,29.80507,6.06653,39.44261,10.30724,20.02089,0.97390,70.03299,6.77441,133.64568,10.22719
106.33214,36.57976,114.04259,76.91277,115.22910,17.98372,15.59433,39.33082,35.41874,25.85513,33.36829,6.76342,44.63686,11.38859,22.52676,1.00804,78.42265,7.66258,148.69145,11.19871
109.16541,37.07038,118.11330,79.69475,120.64597,18.93724,15.95636,40.25053,36.32549,27.38033,34.17134,7.48972,45.90673,11.70054,23.65901,1.14669,81.41554,7.95769,154.39064,11.30722
111.88106,37.72012,116.21598,78.26305,119.32550,18.68554,15.50977,39.56189,34.57255,27.97626,34.32447,7.77846,45.68863,11.62935,23.25776,1.10418,79.67403,8.21856,151.25403,10.83971
105.53390,35.65710,111.91756,74.37409,115.99361,17.96195,15.06704,37.99968,33.56269,27.40087,33.14470,7.83674,43.27453,11.22522,22.41615,1.17787,76.50893,7.81780,146.03003,10.49602
107.34566,36.50057,112.09000,74.46581,114.74564,17.75538,14.92762,38.64438,32.83904,27.20604,33.54831,7.92669,42.93800,11.40716,22.04206,1.05819,75.36769,7.84467,143.50238,10.52372
102.63547,35.15718,111.55424,73.14232,113.48130,17.59959,15.03347,37.75897,33.75194,26.70858,32.56259,7.83460,42.61719,11.17700,21.48296,1.19716,75.76438,7.62157,144.97861,10.80864
99.50748,34.38533,102.43640,68.72511,106.94093,16.84468,14.02003,35.41047,31.01964,25.10389,30.52489,6.91889,40.61327,10.34162,20.72328,1.11810,71.36774,7.09079,133.97705,10.10138
92.53007,31.19411,99.41853,66.65387,101.92712,16.17484,13.05961,33.91098,29.39788,23.86305,28.83416,6.98666,37.95544,10.00073,19.66445,1.08926,67.53592,6.83323,128.03351,9.44069
90.58409,30.60580,93.24007,62.11587,95.47099,15.06288,12.55750,31.56997,27.50134,23.09344,27.78170,6.78257,36.84955,9.51453,18.51046,1.11008,63.65818,6.94912,121.34940,8.81936
85.08066,29.04335,90.09051,60.01324,94.29536,14.64660,12.48410,31.22490,27.20273,22.35623,27.27039,6.51873,34.53579,9.35946,18.43017,1.15756,61.48676,6.42896,116.91547,8.63462
81.82986,28.15844,86.06134,56.66055,88.00925,13.96166,11.50390,29.47361,25.36010,21.25729,25.42392,6.42605,33.19500,8.82638,16.72527,1.05921,58.33886,6.10824,110.57735,8.49716
77.81973,26.73324,82.69639,54.99994,84.63503,13.43583,11.31999,28.40492,24.96141,20.07729,24.50180,5.95084,32.08210,8.54980,16.45651,1.10720,56.42739,5.94760,107.04631,8.17624
76.33797,26.21760,80.55431,53.78859,82.70191,13.16679,11.08749,27.74014,24.35409,19.63514,23.97850,5.79052,31.43514,8.36927,16.17676,1.11331,55.14460,5.85977,104.46507,7.97799
